meshID=1888219
degree=1
Calculation Start Time:1.4387250336231041e+09
Calculation End Time:1.4387250336475091e+09
Calculation Elapsed Time:2.4405002593994141e-02
1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.5000000000000000e+00 7.5000000000000000e-01 3.8921311623473065e-01
9.3750000000000000e-01 9.3750000000000000e-01 1.1818513025568420e-01
7.5000000000000000e-01 1.5000000000000000e+00 3.8921311623473065e-01
1.5000000000000000e+00 0.0000000000000000e+00 2.1953489189183562e-01
7.5000000000000000e-01 3.7500000000000000e-01 0.0000000000000000e+00
1.0991379310344827e-01 7.6077586206896552e-01 0.0000000000000000e+00
0.0000000000000000e+00 1.5000000000000000e+00 2.1953489189183562e-01
1.1071428571428572e+00 -3.7500000000000000e-01 1.2093217268380725e-02
1.5000000000000000e+00 -7.5000000000000000e-01 3.8921311623473065e-01
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.2500000000000000e-01 6.2500000000000000e-01 0.0000000000000000e+00
-3.7500000000000000e-01 1.1071428571428572e+00 2.4788519120880408e-02
-7.5000000000000000e-01 1.5000000000000000e+00 3.8921311623473065e-01
6.2500000000000000e-01 -6.2500000000000000e-01 0.0000000000000000e+00
1.0156250000000000e+00 -1.0156250000000000e+00 1.6679397992284653e-01
1.5808823529411764e-01 -9.5220588235294112e-01 0.0000000000000000e+00
-3.7500000000000000e-01 -7.5000000000000000e-01 0.0000000000000000e+00
-7.2916666666666663e-01 -1.0416666666666667e-01 0.0000000000000000e+00
-1.0648674242424243e+00 3.1581439393939398e-01 5.9714815005145376e-03
-1.0156250000000000e+00 1.0156250000000000e+00 1.6816307693235677e-01
-1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.5000000000000000e+00 -1.5000000000000000e+00 9.9796130161186314e-01
7.5000000000000000e-01 -1.5000000000000000e+00 3.8921311623473065e-01
0.0000000000000000e+00 -1.5000000000000000e+00 2.1953489189183562e-01
-7.5000000000000000e-01 -1.5000000000000000e+00 3.8921311623473065e-01
-9.3750000000000000e-01 -9.3750000000000000e-01 1.1951598414920329e-01
-1.5000000000000000e+00 -7.5000000000000000e-01 3.8921311623473065e-01
-1.5000000000000000e+00 0.0000000000000000e+00 2.1953489189183562e-01
-1.5000000000000000e+00 7.5000000000000000e-01 3.8921311623473065e-01
-1.5000000000000000e+00 -1.5000000000000000e+00 9.9796130161186314e-01
