meshID=3073402
degree=2
Calculation Start Time:1.4387250340678790e+09
Calculation End Time:1.4387250341066101e+09
Calculation Elapsed Time:3.8731098175048828e-02
1.5000000000000000e+00 1.3125000000000000e+00 7.9661064921550118e-01
1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.5000000000000000e+00 1.1250000000000000e+00 6.2920384057762591e-01
1.1718750000000000e+00 1.1718750000000000e+00 3.6792327943301761e-01
1.3359375000000000e+00 1.1484375000000000e+00 4.8546678695216056e-01
1.3359375000000000e+00 1.3359375000000000e+00 6.4849580298283582e-01
1.1250000000000000e+00 1.5000000000000000e+00 6.2920384057762591e-01
8.7890625000000000e-01 1.2304687500000000e+00 2.2947190426148528e-01
1.0019531250000000e+00 1.3652343750000000e+00 4.0703107818739692e-01
1.0253906250000000e+00 1.2011718750000000e+00 2.8986787445300743e-01
1.1484375000000000e+00 1.3359375000000000e+00 4.8546067427418282e-01
1.3125000000000000e+00 1.5000000000000000e+00 7.9661064921550118e-01
1.5000000000000000e+00 7.5000000000000000e-01 3.8921311623473065e-01
1.2187500000000000e+00 8.4375000000000000e-01 2.0493560463127211e-01
9.3750000000000000e-01 9.3750000000000000e-01 9.6220210811138962e-02
1.1953125000000000e+00 1.0078125000000000e+00 2.7514482768017584e-01
1.0546875000000000e+00 1.0546875000000000e+00 2.1220595763048633e-01
1.0781250000000000e+00 8.9062500000000000e-01 1.4218538992127136e-01
1.3593750000000000e+00 9.8437500000000000e-01 3.9057688424784975e-01
1.3593750000000000e+00 7.9687500000000000e-01 2.8667383815709618e-01
1.5000000000000000e+00 9.3750000000000000e-01 4.9411137370560165e-01
9.0820312500000000e-01 1.0839843750000000e+00 1.5279581219470259e-01
7.5000000000000000e-01 1.5000000000000000e+00 3.8921311623473065e-01
8.1445312500000000e-01 1.3652343750000000e+00 2.9988724545892453e-01
9.3750000000000000e-01 1.5000000000000000e+00 4.9411137370560165e-01
4.7129114737606892e-01 1.0945970491253563e+00 3.5627710654359879e-02
6.0947017071478959e-01 7.3434327642840358e-01 0.0000000000000000e+00
8.7506344714319306e-01 6.7190672357159653e-01 1.1960769411963147e-02
7.4226680892899133e-01 7.0312500000000000e-01 0.0000000000000000e+00
9.0628172357159653e-01 8.0470336178579827e-01 4.2265461455390098e-02
7.7348508535739480e-01 8.3592163821420185e-01 1.7972278727788657e-02
5.4038065904542920e-01 9.1447016277687987e-01 0.0000000000000000e+00
7.0439557368803452e-01 1.0160485245626782e+00 5.1007249621453213e-02
6.7509869868803452e-01 1.1625328995626782e+00 1.0736630835419034e-01
6.1064557368803452e-01 1.2972985245626782e+00 1.6746035403392981e-01
1.1250000000000000e+00 5.6250000000000000e-01 6.1806374780772839e-02
1.0000317235715965e+00 6.1720336178579827e-01 2.9044611778377586e-02
1.0469067235715965e+00 7.5782836178579827e-01 7.8624366856672401e-02
1.1718750000000000e+00 7.0312500000000000e-01 1.2149105657323442e-01
1.3125000000000000e+00 6.5625000000000000e-01 1.9311526911827875e-01
1.5000000000000000e+00 3.7500000000000000e-01 2.5953508098361833e-01
1.3125000000000000e+00 4.6875000000000000e-01 1.3922197194818930e-01
1.5000000000000000e+00 5.6250000000000000e-01 3.1194983799747600e-01
3.7500000000000000e-01 1.5000000000000000e+00 2.5953508098361833e-01
9.7512594118668833e-02 1.1367154545794220e+00 2.0756339223272101e-02
2.3625629705933443e-01 1.3183577272897109e+00 1.0517815545662859e-01
2.8440187074736889e-01 1.1156562518523891e+00 2.2448352373987221e-02
1.0991379310344827e-01 7.6077586206896552e-01 0.0000000000000000e+00
3.5969198190911894e-01 7.4755956924868450e-01 0.0000000000000000e+00
2.9060247023975860e-01 9.2768645559716090e-01 0.0000000000000000e+00
1.0371319361105855e-01 9.4874565832419377e-01 0.0000000000000000e+00
4.2314557368803446e-01 1.2972985245626782e+00 1.2053399568199784e-01
5.6250000000000000e-01 1.5000000000000000e+00 3.1194983799747600e-01
7.5000000000000000e-01 3.7500000000000000e-01 0.0000000000000000e+00
8.1253172357159653e-01 5.2345336178579827e-01 0.0000000000000000e+00
6.7973508535739480e-01 5.5467163821420185e-01 0.0000000000000000e+00
5.0436759966115963e-01 4.8608996591462639e-01 0.0000000000000000e+00
5.5691888518797461e-01 6.1021662117151498e-01 0.0000000000000000e+00
3.0714069638230396e-01 6.2343291399179601e-01 0.0000000000000000e+00
6.2718379983057981e-01 4.3054498295731319e-01 0.0000000000000000e+00
9.3750000000000000e-01 4.6875000000000000e-01 0.0000000000000000e+00
1.0633370535714286e+00 6.4174107142857123e-02 7.5324077721232174e-03
9.0666852678571430e-01 2.1958705357142855e-01 0.0000000000000000e+00
1.0941685267857144e+00 3.1333705357142855e-01 1.7196095658754414e-02
1.3045087681138750e+00 1.8750000000000006e-01 9.2242449549500546e-02
1.4022543840569375e+00 2.8125000000000000e-01 1.6479682735740189e-01
1.2147543840569375e+00 3.7500000000000000e-01 6.7877667826135746e-02
1.1839229108426519e+00 1.2583705357142860e-01 3.5063266040094763e-02
1.5000000000000000e+00 0.0000000000000000e+00 2.1953489189183562e-01
