dofs H1Error ConvRateFrom1 ElapsedTime
137 0.205031973930899 0 0.07699452146
320 0.0637253672629715 -1.37749384386002 0.0818829536437988
815 0.0282525405395199 -1.11147070694302 0.0992691516876221
2413 0.00818288610361247 -1.12287190210278 0.155762910842896
13725 0.00148065137525862 -1.07026068056187 0.638932943344116
80125 0.000343367480741969 -1.00325796917553 5.47366499900818
196377 0.000109871663751264 -1.03629670664911 18.7094378471375
1147579 2.38778595270209e-05 -1.00274381967414 220.466284036636
