meshID=7242342
degree=1
Calculation Start Time:1.4387250337854700e+09
Calculation End Time:1.4387250338689630e+09
Calculation Elapsed Time:8.3492994308471680e-02
1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.5000000000000000e+00 1.4062500000000000e+00 8.9295951032873644e-01
1.4487525904477843e+00 1.4487525904477843e+00 8.8221587682403635e-01
1.4062500000000000e+00 1.5000000000000000e+00 8.9295951032873644e-01
1.5000000000000000e+00 1.3125000000000000e+00 7.9661064921550118e-01
1.4529120469839467e+00 1.3593750000000000e+00 7.9165432020473281e-01
1.4016741071428571e+00 1.4016741071428571e+00 7.8120331063509296e-01
1.3213116576993575e+00 1.4183914902322858e+00 7.1700289304848253e-01
1.3125000000000000e+00 1.5000000000000000e+00 7.9661064921550118e-01
1.4050311560977393e+00 1.2640350999926915e+00 6.4954470776131423e-01
1.5000000000000000e+00 1.2187500000000000e+00 7.0875481091940840e-01
1.3772682090047308e+00 1.3322183981381264e+00 6.8587815877489422e-01
1.3078125000000000e+00 1.3078125000000000e+00 5.9554527132957935e-01
1.2402297668085061e+00 1.4056117739802803e+00 6.2799439129023937e-01
1.2187500000000000e+00 1.5000000000000000e+00 7.0875481091940840e-01
1.3355167785891908e+00 1.2387222251735066e+00 5.5935253630830672e-01
1.2658468658604358e+00 1.2138406341395642e+00 4.7569227623785404e-01
1.2208063461403427e+00 1.2903110427799069e+00 5.0337511083348052e-01
1.1443359375000000e+00 1.3353515625000001e+00 4.8128808366097642e-01
1.1558791918439957e+00 1.4201667789799000e+00 5.7159809981332288e-01
1.1250000000000000e+00 1.5000000000000000e+00 6.2920384057762591e-01
1.4293308684287052e+00 1.1927711476103071e+00 6.1138343493719161e-01
1.5000000000000000e+00 1.1250000000000000e+00 6.2920384057762591e-01
1.3581311893363064e+00 1.1682837503279120e+00 5.2191035787577633e-01
1.2836182860432555e+00 1.1335917405288529e+00 4.2830166648910017e-01
1.1718750000000000e+00 1.1718750000000000e+00 3.6774984354208906e-01
1.1571757342985365e+00 1.2472738488696546e+00 4.1612984980805312e-01
1.0806508936227339e+00 1.2405653779131487e+00 3.5497078163867413e-01
1.0474681367709853e+00 1.3205078608355718e+00 3.9844617270904681e-01
1.0968339500502813e+00 1.3850096490022819e+00 4.9181817220233393e-01
1.0781250000000000e+00 1.4527653052713525e+00 5.4373260246510657e-01
1.0312500000000000e+00 1.5000000000000000e+00 5.5773930165761154e-01
1.4079510297303459e+00 1.0774358060799574e+00 4.9865324166630648e-01
1.5000000000000000e+00 1.0312500000000000e+00 5.5773930165761154e-01
1.3439325847808437e+00 1.1014131678557992e+00 4.5778268493115903e-01
1.3183593750000000e+00 1.0253906250000000e+00 3.8141913244628917e-01
1.4018071339818849e+00 9.6620870189589558e-01 4.1693979036404460e-01
1.5000000000000000e+00 9.3750000000000000e-01 4.9411137370560165e-01
1.2237548828125000e+00 1.0772705078125000e+00 3.4007381607862769e-01
1.1397603343149498e+00 1.0927363564690853e+00 2.9001241632340780e-01
1.0624507164242247e+00 1.1719660986383096e+00 2.9277863345093275e-01
9.9183897879442418e-01 1.1791138308650182e+00 2.5452248528597965e-01
9.7250525792320253e-01 1.2772358985165733e+00 3.1470608842160885e-01
9.8465259123588267e-01 1.3427598252499617e+00 3.7669055112505789e-01
1.0312500000000000e+00 1.4055306105427048e+00 4.6402531778548772e-01
9.8437500000000000e-01 1.4527653052713523e+00 4.7797573164489227e-01
9.3750000000000000e-01 1.5000000000000000e+00 4.9411137370560165e-01
1.3180930397727273e+00 9.0740411931818188e-01 3.0955692705264826e-01
1.2395685369318181e+00 9.6657492897727271e-01 2.8301270427915937e-01
1.1474609375000000e+00 1.0009765625000000e+00 2.3825113238029538e-01
1.0917083784156518e+00 1.0425007534387392e+00 2.2824252802305009e-01
1.0547951301334577e+00 1.1014076153380774e+00 2.4097673032379852e-01
9.8543168006693738e-01 1.0892858235106906e+00 1.9470171596162056e-01
9.1849097143928682e-01 1.1111299891085142e+00 1.7326837728113695e-01
8.9225779544469730e-01 1.1779698150195859e+00 2.0128264234640653e-01
8.6425808272557358e-01 1.2440890855708555e+00 2.3165764955521140e-01
9.0461804036528159e-01 1.3056102240014926e+00 2.9907811505858295e-01
9.2676590132566072e-01 1.3757760911261876e+00 3.6946058808205939e-01
8.5928465770420848e-01 1.4205307079547134e+00 3.7154904689941420e-01
8.4375000000000000e-01 1.5000000000000000e+00 4.3803918020543609e-01
1.4026539511813052e+00 8.7601326893792453e-01 3.6412689325956227e-01
1.5000000000000000e+00 8.4375000000000000e-01 4.3803918020543609e-01
1.2187500000000000e+00 8.4375000000000000e-01 2.0454711250910085e-01
1.0992927807874449e+00 8.8436125503095331e-01 1.5034583574670293e-01
1.0358992943156846e+00 9.9100678130196640e-01 1.6669146122922462e-01
9.5257646824613185e-01 1.0270061229779557e+00 1.4421993208607442e-01
8.6039557732301608e-01 1.0725711178120161e+00 1.2688859806280456e-01
8.3339008054250818e-01 1.1368561434153610e+00 1.4959734978625530e-01
7.6370889750251536e-01 1.1920696325008384e+00 1.5436555848171563e-01
7.6371684520494854e-01 1.2811357910790002e+00 2.1278825105532451e-01
8.2150135250473144e-01 1.3489128622989752e+00 2.8966398498203177e-01
7.9677205470799273e-01 1.4494423027868746e+00 3.6503262907408723e-01
7.5000000000000000e-01 1.5000000000000000e+00 3.8921311623473065e-01
1.3593750000000000e+00 7.9687500000000000e-01 2.8678271905623892e-01
1.4339622786983601e+00 8.0748816390491962e-01 3.5623383632351513e-01
1.5000000000000000e+00 7.5000000000000000e-01 3.8921311623473065e-01
1.2890625000000000e+00 8.2031250000000000e-01 2.4341224607079445e-01
1.1708394207905541e+00 9.2306441466429934e-01 2.1288734607840645e-01
1.1350441225721197e+00 7.9352695914262672e-01 1.3338813992735107e-01
1.2020085817147466e+00 7.7678554085737328e-01 1.6599130486080033e-01
1.2656250000000000e+00 7.5000000000000000e-01 1.9638723456175119e-01
1.3359375000000000e+00 7.2656250000000000e-01 2.3732014802874907e-01
1.4062500000000000e+00 7.0312500000000000e-01 2.8263651147167440e-01
1.5000000000000000e+00 6.5625000000000000e-01 3.4729975707791105e-01
1.0390783617857982e+00 7.7348508535739480e-01 7.9414675482933406e-02
1.0032269431313190e+00 8.6474385631825779e-01 9.5440617776399880e-02
9.3750000000000000e-01 9.3750000000000000e-01 9.7290136193308674e-02
8.6496645337741018e-01 9.9793153018279546e-01 9.3457343225026815e-02
7.9219240687376435e-01 1.0580732243838298e+00 9.4255964237126164e-02
7.6518691009325646e-01 1.1223582499871747e+00 1.1606643342440863e-01
6.8847630605082555e-01 1.1826616526004954e+00 1.2288964163413935e-01
6.7778319597858561e-01 1.2577223633573560e+00 1.6356136586719977e-01
7.2312287973415845e-01 1.3381370969409561e+00 2.3764228755202849e-01
7.4429299838187724e-01 1.4048367594517472e+00 3.0032800083981370e-01
6.7891283144827341e-01 1.4315558844064999e+00 2.9516982418331678e-01
6.5625000000000000e-01 1.5000000000000000e+00 3.4729975707791105e-01
1.1718750000000000e+00 7.0312500000000000e-01 1.2130436713988833e-01
1.2421875000000000e+00 6.7968750000000000e-01 1.5559360152325816e-01
1.3125000000000000e+00 6.5625000000000000e-01 1.9262940045352625e-01
1.3908175285424960e+00 5.7851005708499192e-01 2.2447625042544869e-01
1.4511084929329945e+00 6.0937500000000000e-01 2.8522349086890875e-01
1.5000000000000000e+00 5.6250000000000000e-01 3.1194983799747600e-01
1.1061940076262105e+00 7.2906940781206298e-01 9.6413491897206424e-02
