meshID=4916052
degree=2
Calculation Start Time:1.4392512677759011e+09
Calculation End Time:1.4392512680280859e+09
Calculation Elapsed Time:2.5218486785888672e-01
1.1250000000000000e+00 -1.5000000000000000e+00 6.2920384057762591e-01
1.5000000000000000e+00 -1.5000000000000000e+00 9.9796130161186314e-01
7.5000000000000000e-01 -1.5000000000000000e+00 3.8921311623473065e-01
1.1250000000000000e+00 -1.1250000000000000e+00 2.9523413172133145e-01
9.3750000000000000e-01 -1.3125000000000000e+00 3.2052188887612698e-01
1.3125000000000000e+00 -1.3125000000000000e+00 6.0274452862211336e-01
1.5000000000000000e+00 -7.5000000000000000e-01 3.8921311623473065e-01
7.5000000000000000e-01 -3.7500000000000000e-01 0.0000000000000000e+00
1.1250000000000000e+00 -5.6250000000000000e-01 4.7266090328242770e-02
9.3750000000000000e-01 -7.5000000000000000e-01 1.9902821132839137e-02
7.5000000000000000e-01 -9.3750000000000000e-01 2.2309625954468885e-02
3.7500000000000000e-01 -7.5000000000000000e-01 0.0000000000000000e+00
5.6250000000000000e-01 -5.6250000000000000e-01 0.0000000000000000e+00
5.6250000000000000e-01 -1.1250000000000000e+00 4.9666173013464966e-02
3.7500000000000000e-01 -1.5000000000000000e+00 2.5953508098361833e-01
3.7500000000000000e-01 -1.1250000000000000e+00 1.8594540772264780e-02
5.6250000000000000e-01 -1.5000000000000000e+00 3.1194983799747600e-01
1.3125000000000000e+00 -9.3750000000000000e-01 3.1858350425335530e-01
1.5000000000000000e+00 -1.1250000000000000e+00 6.2920384057762591e-01
1.5000000000000000e+00 -3.7500000000000000e-01 2.5953508098361833e-01
1.5000000000000000e+00 0.0000000000000000e+00 2.1953489189183562e-01
1.1250000000000000e+00 -3.7500000000000000e-01 1.7451644255498465e-02
1.5000000000000000e+00 -1.8750000000000000e-01 2.2936092362385307e-01
1.1250000000000000e+00 -1.8750000000000000e-01 1.7917500645845299e-03
7.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00
7.5000000000000000e-01 -1.8750000000000000e-01 0.0000000000000000e+00
1.1250000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
1.5000000000000000e+00 -5.6250000000000000e-01 3.1194983799747600e-01
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
3.7500000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00
3.7500000000000000e-01 -1.8750000000000000e-01 0.0000000000000000e+00
1.8750000000000000e-01 -3.7500000000000000e-01 0.0000000000000000e+00
0.0000000000000000e+00 -7.5000000000000000e-01 0.0000000000000000e+00
0.0000000000000000e+00 -1.5000000000000000e+00 2.1953489189183562e-01
0.0000000000000000e+00 -1.1250000000000000e+00 0.0000000000000000e+00
1.8750000000000000e-01 -7.5000000000000000e-01 0.0000000000000000e+00
1.8750000000000000e-01 -1.1250000000000000e+00 2.2489086712910418e-03
1.8750000000000000e-01 -1.5000000000000000e+00 2.2936092362385307e-01
0.0000000000000000e+00 -3.7500000000000000e-01 0.0000000000000000e+00
7.5000000000000000e-01 3.7500000000000000e-01 0.0000000000000000e+00
1.5000000000000000e+00 3.7500000000000000e-01 2.5953508098361833e-01
1.1250000000000000e+00 3.7500000000000000e-01 1.7451644255487613e-02
1.5000000000000000e+00 1.8750000000000000e-01 2.2936092362385307e-01
1.1250000000000000e+00 1.8750000000000000e-01 1.7917500645801806e-03
7.5000000000000000e-01 1.8750000000000000e-01 0.0000000000000000e+00
3.7500000000000000e-01 1.8750000000000000e-01 0.0000000000000000e+00
3.7500000000000000e-01 7.5000000000000000e-01 0.0000000000000000e+00
0.0000000000000000e+00 7.5000000000000000e-01 0.0000000000000000e+00
-3.7500000000000000e-01 7.5000000000000000e-01 0.0000000000000000e+00
-1.8750000000000000e-01 7.5000000000000000e-01 0.0000000000000000e+00
0.0000000000000000e+00 3.7500000000000000e-01 0.0000000000000000e+00
-1.8750000000000000e-01 3.7500000000000000e-01 0.0000000000000000e+00
-7.5000000000000000e-01 3.7500000000000000e-01 0.0000000000000000e+00
-7.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00
-7.5000000000000000e-01 -3.7500000000000000e-01 0.0000000000000000e+00
-7.5000000000000000e-01 -1.8750000000000000e-01 0.0000000000000000e+00
-3.7500000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00
-3.7500000000000000e-01 -1.8750000000000000e-01 0.0000000000000000e+00
-3.7500000000000000e-01 -7.5000000000000000e-01 0.0000000000000000e+00
-3.7500000000000000e-01 -1.5000000000000000e+00 2.5953508098361833e-01
-3.7500000000000000e-01 -1.1250000000000000e+00 1.8594540772262795e-02
-1.8750000000000000e-01 -1.5000000000000000e+00 2.2936092362385307e-01
-1.8750000000000000e-01 -1.1250000000000000e+00 2.2489086712905114e-03
