dofs H1Error ConvRateFrom1 ElapsedTime
137 0.145866394677877 0 0.221672987937927
314 0.091878213867777 -0.965548541731716 0.241261005401611
737 0.0403125502159551 NaN 0.24571704864502
2053 0.0158165048903054 -0.913261751015352 0.280467987060547
6693 0.00566905868104407 -0.889136725297638 0.568058013916016
23485 0.00213572900168342 -0.848715853343031 2.25627303123474
88285 0.000683421632709084 -0.851970262977868 18.8744990825653
341451 0.000249974328536049 -0.828079537671279 193.405202150345
1340053 8.80469522346082e-05 -0.816260114628745 2534.42842316628
