meshID=8226611
degree=2
Calculation Start Time:1.4400903930631320e+09
Calculation End Time:1.4400903934701059e+09
Calculation Elapsed Time:4.0697383880615234e-01
1.5000000000000000e+00 1.4531250000000000e+00 -2.9434227011917818e-02
1.5000000000000000e+00 1.5000000000000000e+00 -4.0061509279258653e-02
1.5000000000000000e+00 1.4062500000000000e+00 -1.8817907513585887e-02
1.4487525904477843e+00 1.4487525904477843e+00 -1.6414546768662476e-02
1.4743762952238921e+00 1.4275012952238921e+00 -1.7528844125156536e-02
1.4743762952238921e+00 1.4743762952238921e+00 -2.8340630611670217e-02
1.4062500000000000e+00 1.5000000000000000e+00 -1.8817907513585887e-02
1.4016741071428571e+00 1.4016741071428571e+00 6.0590158123627284e-03
1.4529120469839467e+00 1.3593750000000000e+00 3.5166978084426189e-03
1.4272930770634020e+00 1.3805245535714286e+00 4.8803200203374492e-03
1.4508323187158654e+00 1.4040637952238921e+00 -6.4278180838739894e-03
1.4252133487953207e+00 1.4252133487953207e+00 -5.2707470053135110e-03
1.4275012952238921e+00 1.4743762952238921e+00 -1.7528860017077808e-02
1.4039620535714286e+00 1.4508370535714286e+00 -6.4056735187638528e-03
1.4531250000000000e+00 1.5000000000000000e+00 -2.9434227011917818e-02
1.5000000000000000e+00 1.3125000000000000e+00 2.3330889532769826e-03
1.4764560234919735e+00 1.3828125000000000e+00 -7.7421716357211554e-03
1.4764560234919735e+00 1.3359375000000000e+00 3.0192286242150227e-03
1.5000000000000000e+00 1.3593750000000000e+00 -8.2244660739172054e-03
1.3213116576993575e+00 1.4183914902322858e+00 2.1253638866850864e-02
1.3125000000000000e+00 1.5000000000000000e+00 2.3330889532769826e-03
1.3169058288496789e+00 1.4591957451161428e+00 1.1810045950317458e-02
1.3637808288496789e+00 1.4591957451161428e+00 9.2381154720764353e-04
1.3614928824211074e+00 1.4100327986875714e+00 1.3720605831752492e-02
1.3772682090047308e+00 1.3322183981381264e+00 2.9131015776691933e-02
1.4050311560977393e+00 1.2640350999926915e+00 3.8501540028180577e-02
1.5000000000000000e+00 1.2187500000000000e+00 2.3282701639602429e-02
1.4525155780488697e+00 1.2413925499963456e+00 3.1064550862609185e-02
1.5000000000000000e+00 1.2656250000000000e+00 1.2840598963911262e-02
1.4525155780488697e+00 1.2882675499963456e+00 2.0192969353084286e-02
1.4289716015408431e+00 1.3117050499963456e+00 2.0816883355844702e-02
1.4150901279943389e+00 1.3457966990690631e+00 1.6226259699613436e-02
1.3894711580737940e+00 1.3669462526404916e+00 1.7520105352092648e-02
1.3492899333520443e+00 1.3753049441852061e+00 2.5411478842839019e-02
1.3593750000000000e+00 1.5000000000000000e+00 -8.2244660739172054e-03
1.3911496825512351e+00 1.2981267490654089e+00 3.3911265678553411e-02
1.3078125000000000e+00 1.3078125000000000e+00 5.3208328295944463e-02
1.3355167785891908e+00 1.2387222251735066e+00 6.3577072355692141e-02
1.3216646392945954e+00 1.2732673625867532e+00 5.8492985831180684e-02
1.3563924937969607e+00 1.2854703116558164e+00 4.6173312583221521e-02
1.3702739673434650e+00 1.2513786625830989e+00 5.0943321733066052e-02
1.4293308684287052e+00 1.1927711476103071e+00 4.8767896949100963e-02
1.4646654342143526e+00 1.2057605738051536e+00 3.5920837602017447e-02
1.4171810122632222e+00 1.2284031238014994e+00 4.3733081734699121e-02
1.3824238235089479e+00 1.2157466863919069e+00 5.6365659581323509e-02
1.2402297668085061e+00 1.4056117739802803e+00 4.4068439779159356e-02
1.2807707122539318e+00 1.4120016321062829e+00 3.2627407072379162e-02
1.3145620788496788e+00 1.3631019951161429e+00 3.7149653719450212e-02
1.2740211334042530e+00 1.3567121369901400e+00 4.8954344309878835e-02
1.2763648834042529e+00 1.4528058869901401e+00 2.2882040674961638e-02
1.2187500000000000e+00 1.5000000000000000e+00 2.3282701639602429e-02
1.2294898834042529e+00 1.4528058869901401e+00 3.3736791776655645e-02
1.2656250000000000e+00 1.5000000000000000e+00 1.2840598963911262e-02
1.3425403545023653e+00 1.3200154490690632e+00 4.1086666965271433e-02
1.5000000000000000e+00 1.1250000000000000e+00 4.3902936429068271e-02
1.4646654342143526e+00 1.1588855738051536e+00 4.6561127170993998e-02
1.5000000000000000e+00 1.1718750000000000e+00 3.3642782923696796e-02
1.2658468658604358e+00 1.2138406341395642e+00 8.9364542976622718e-02
1.3006818222248133e+00 1.2262814296565354e+00 7.6371984535991908e-02
1.2868296829302179e+00 1.2608265670697820e+00 7.1083254649218913e-02
1.2208063461403427e+00 1.2903110427799069e+00 8.0685139128446201e-02
1.2433266060003891e+00 1.2520758384597355e+00 8.5212370986764790e-02
1.2643094230701712e+00 1.2990617713899535e+00 6.6873529030061829e-02
1.2305180564744242e+00 1.3479614083800935e+00 6.2232963194790346e-02
1.1443359375000000e+00 1.3353515625000001e+00 8.7501740272945563e-02
1.1558791918439957e+00 1.4201667789799000e+00 6.0018444734294650e-02
1.1250000000000000e+00 1.5000000000000000e+00 4.3902936429068271e-02
1.1873145959219977e+00 1.4600833894899501e+00 4.1403047467326724e-02
1.1404395959219977e+00 1.4600833894899501e+00 5.2046990945937337e-02
1.1718750000000000e+00 1.5000000000000000e+00 3.3642782923696796e-02
1.3581311893363064e+00 1.1682837503279120e+00 7.4899103250763405e-02
1.3468239839627487e+00 1.2035029877507093e+00 6.9333539242126971e-02
1.3119890275983712e+00 1.1910621922337381e+00 8.2341536153356085e-02
1.3937310288825058e+00 1.1805274489691095e+00 6.1726991221479871e-02
1.4079510297303459e+00 1.0774358060799574e+00 8.1989948054659118e-02
1.5000000000000000e+00 1.0312500000000000e+00 6.4045199814526554e-02
1.4539755148651730e+00 1.0543429030399787e+00 7.3178720040965151e-02
1.5000000000000000e+00 1.0781250000000000e+00 5.4043932548800570e-02
1.4539755148651730e+00 1.1012179030399787e+00 6.2687916358145759e-02
1.4186409490795255e+00 1.1351034768451322e+00 6.5328055886122657e-02
1.3830411095333262e+00 1.1228597782039347e+00 7.8712607910729010e-02
1.1980544793262509e+00 1.4128892764800902e+00 5.2131556400583506e-02
1.1501075646719978e+00 1.3777591707399499e+00 7.3677145172424574e-02
1.1922828521542530e+00 1.3704816682401402e+00 6.5455973519361346e-02
1.1825711418201714e+00 1.3128313026399536e+00 8.4289910818755615e-02
1.1718750000000000e+00 1.1718750000000000e+00 1.2786632859799105e-01
1.2836182860432555e+00 1.1335917405288529e+00 1.0556362524477796e-01
1.2747325759518455e+00 1.1737161873342086e+00 9.7559197035179665e-02
1.2277466430216277e+00 1.1527333702644265e+00 1.1695131751614656e-01
1.2188609329302178e+00 1.1928578170697821e+00 1.0838016626758684e-01
1.1571757342985365e+00 1.2472738488696546e+00 1.0999705749029078e-01
1.1889910402194395e+00 1.2687924458247808e+00 9.5190598071202254e-02
1.2115113000794862e+00 1.2305572415046093e+00 9.9891768145751403e-02
1.1645253671492681e+00 1.2095744244348272e+00 1.1899203050856605e-01
1.0806508936227339e+00 1.2405653779131487e+00 1.3282662242478921e-01
1.0474681367709853e+00 1.3205078608355718e+00 1.1638050020059419e-01
1.0640595151968597e+00 1.2805366193743604e+00 1.2473407739311052e-01
1.0959020371354926e+00 1.3279297116677860e+00 1.0190875952078751e-01
1.1124934155613668e+00 1.2879584702065743e+00 1.0979264786075700e-01
1.1189133139606353e+00 1.2439196133914017e+00 1.2139953365600824e-01
1.1507558358992682e+00 1.2913127056848275e+00 9.8787382064497470e-02
1.3208747376897809e+00 1.1509377454283825e+00 9.0074055235144668e-02
1.3439325847808437e+00 1.1014131678557992e+00 9.5671262180882857e-02
1.3759418072555949e+00 1.0894244869678782e+00 8.8890502913087824e-02
1.3510318870585749e+00 1.1348484590918555e+00 8.5254600523974960e-02
