meshID=3537631
degree=1
Calculation Start Time:1.4387254840006430e+09
Calculation End Time:1.4387254840656080e+09
Calculation Elapsed Time:6.4965009689331055e-02
1.5000000000000000e+00 1.5000000000000000e+00 -4.0061509279258653e-02
1.5000000000000000e+00 1.3125000000000000e+00 2.3330889532769826e-03
1.4016741071428571e+00 1.4016741071428571e+00 6.1226538817622453e-03
1.3125000000000000e+00 1.5000000000000000e+00 2.3330889532769826e-03
1.3078125000000000e+00 1.3078125000000000e+00 5.3412303203146445e-02
1.3581311893363064e+00 1.1682837503279120e+00 7.4855654144221920e-02
1.5000000000000000e+00 1.1250000000000000e+00 4.3902936429068271e-02
1.1443359375000000e+00 1.3353515625000001e+00 8.7450445350668801e-02
1.1250000000000000e+00 1.5000000000000000e+00 4.3902936429068271e-02
1.1718750000000000e+00 1.1718750000000000e+00 1.2746784748027204e-01
1.3183593750000000e+00 1.0253906250000000e+00 1.2265769700658428e-01
1.5000000000000000e+00 9.3750000000000000e-01 8.3539549081038195e-02
9.3750000000000000e-01 1.5000000000000000e+00 8.3539549081038195e-02
9.7250525792320253e-01 1.2772358985165733e+00 1.4915024060864798e-01
1.1474609375000000e+00 1.0009765625000000e+00 1.8522800614507468e-01
1.2187500000000000e+00 8.4375000000000000e-01 2.0348047043655909e-01
1.3593750000000000e+00 7.9687500000000000e-01 1.6207504366686984e-01
1.5000000000000000e+00 7.5000000000000000e-01 1.1980068691378727e-01
9.1849097143928682e-01 1.1111299891085142e+00 2.2237510180833339e-01
7.6370889750251536e-01 1.1920696325008384e+00 2.3380971351255719e-01
8.2150135250473144e-01 1.3489128622989752e+00 1.6012517751641905e-01
7.5000000000000000e-01 1.5000000000000000e+00 1.1980068691378727e-01
9.3750000000000000e-01 9.3750000000000000e-01 2.7860798162555367e-01
8.2308010521994956e-01 1.0128288482115861e+00 2.8988320097503623e-01
6.9678154065442710e-01 9.5977208348690157e-01 3.5419956166638894e-01
6.0646540802108007e-01 1.1764371840677335e+00 2.7977758647779333e-01
6.5812125214748041e-01 1.3640563429503358e+00 1.8879396689301300e-01
5.6250000000000000e-01 1.5000000000000000e+00 1.5094540951882321e-01
1.0390783617857982e+00 7.7348508535739480e-01 2.9454938165908823e-01
1.1718750000000000e+00 7.0312500000000000e-01 2.5802805757037400e-01
1.3125000000000000e+00 6.5625000000000000e-01 2.1005741504213887e-01
1.5000000000000000e+00 5.6250000000000000e-01 1.5094540951882321e-01
7.6584025921385734e-01 8.0340199498783382e-01 3.9913543760899550e-01
6.0947017071478959e-01 7.3434327642840358e-01 5.0183812126708494e-01
5.3642269048402180e-01 8.9225826174182055e-01 4.4199676364260726e-01
4.7129114737606892e-01 1.0945970491253563e+00 3.5174033496993518e-01
5.0729154587058389e-01 1.2994592694608298e+00 2.4429673149320749e-01
3.7500000000000000e-01 1.5000000000000000e+00 1.7507820260904056e-01
9.0628172357159642e-01 8.0470336178579827e-01 3.4003248116998958e-01
8.7506344714319306e-01 6.7190672357159653e-01 4.0302380632265516e-01
9.9009100053583454e-01 5.9449406232636692e-01 3.7246845946563478e-01
1.1250000000000000e+00 5.6250000000000000e-01 3.1403010386032987e-01
1.2816317694133395e+00 4.0701353882667901e-01 2.6983365419730948e-01
1.4022133115402851e+00 4.6875000000000000e-01 2.0538860206358234e-01
1.5000000000000000e+00 3.7500000000000000e-01 1.7507820260904056e-01
7.1016551939655792e-01 5.6657219119825208e-01 5.3375082227451687e-01
5.4525973381944870e-01 5.8170054040641916e-01 6.2365557399249605e-01
4.5090891971286640e-01 7.1121669062565585e-01 5.8757146730440757e-01
3.6805642534425487e-01 8.4837343842570379e-01 5.2180655196291759e-01
4.2662984535977316e-01 9.6856876141536463e-01 4.3144044976293888e-01
2.9509189167198485e-01 1.0923403050877081e+00 3.8518231577878898e-01
3.0161719624091654e-01 1.2684331527692858e+00 2.9014974933371279e-01
2.8125000000000000e-01 1.4033212223668956e+00 2.2760336352429075e-01
1.8750000000000000e-01 1.5000000000000000e+00 1.9042500299161971e-01
9.0650886557448795e-01 4.8386818435982193e-01 4.5163083744543503e-01
1.1182994509273354e+00 4.1865653374204248e-01 3.4905556748480254e-01
1.1706094206650524e+00 2.8449429162818063e-01 3.4264010113843202e-01
1.3045087681138750e+00 1.8750000000000006e-01 2.8335773294850519e-01
1.4022543840569375e+00 2.8125000000000000e-01 2.2769639008264317e-01
1.5000000000000000e+00 1.8750000000000000e-01 1.9042500299161971e-01
5.1919601898326306e-01 4.1816623869724945e-01 7.4536735284403621e-01
3.5092836949045780e-01 5.8193375669336667e-01 7.3362277929976671e-01
2.1978077899126294e-01 6.5701552419186571e-01 7.2112898302375950e-01
2.3327587109812442e-01 8.2139929105546372e-01 5.7701847965888542e-01
1.8910654638209662e-01 9.5156254694350473e-01 4.8922705875883066e-01
9.7512594118668833e-02 1.1367154545794220e+00 3.7931432540486132e-01
1.6086076857523485e-01 1.3429699050524775e+00 2.6492036289790666e-01
0.0000000000000000e+00 1.5000000000000000e+00 1.9569843739850631e-01
7.5000000000000000e-01 3.7500000000000000e-01 5.8943209759547255e-01
1.0099988892574712e+00 3.2375222148505767e-01 4.2944862373552095e-01
1.1730969246006611e+00 1.4700796588437051e-01 3.5656627842357719e-01
1.3123168258230400e+00 -2.0688277198421812e-05 2.8529779936616201e-01
1.5000000000000000e+00 0.0000000000000000e+00 1.9569843739850631e-01
1.4022543840569375e+00 9.7647067540817006e-02 2.3940952662601817e-01
6.1315731779970728e-01 2.8194267006241192e-01 7.3793389570255330e-01
4.7024104189989568e-01 2.7224720217179527e-01 8.3949676796431449e-01
3.2738095238095238e-01 2.8273809523809512e-01 9.0159906916504429e-01
2.6559900965790240e-01 4.3812493237369543e-01 8.5878036173476058e-01
1.2972890118213182e-01 5.3565811153201826e-01 8.3441045040676987e-01
1.0991379310344827e-01 7.6077586206896552e-01 6.4278087344648061e-01
3.1753176808546058e-02 9.0504840430158850e-01 5.3396685059733862e-01
-2.8400641596255244e-03 1.0400343373729146e+00 4.4180628016870660e-01
-8.8374751524072093e-02 1.1559949010857595e+00 3.6863324503383704e-01
5.7454501485826870e-03 1.3068127845984308e+00 2.8820526345343134e-01
-9.3749999999999986e-02 1.4017857142857144e+00 2.3963891918171723e-01
-1.8750000000000000e-01 1.5000000000000000e+00 1.9042500299161971e-01
9.1648509256822619e-01 1.6926796165456209e-01 5.1656941492186359e-01
1.0633370535714286e+00 6.4174107142857123e-02 4.2752382563376434e-01
1.1408485417046668e+00 -1.0233202309684412e-01 3.7759799671640892e-01
1.3035714285714286e+00 -1.8750000000000000e-01 2.8337093327691598e-01
1.5000000000000000e+00 -1.8750000000000000e-01 1.9042500299161971e-01
1.4017857142857142e+00 -9.8137797577429145e-02 2.3960887169371997e-01
7.5222748924524119e-01 2.2458080383650819e-01 6.2886354800005506e-01
5.2692956316178630e-01 1.4069692443803591e-01 8.3818232558304795e-01
7.6275827950549424e-01 7.4514156178531743e-02 6.4591681883858054e-01
9.1037878817555951e-01 -8.2384971725367739e-03 5.3201441421014561e-01
9.6895094254468461e-01 -1.6701229522879765e-01 4.8042573645172537e-01
1.1701554334653923e+00 -2.4437201873245162e-01 3.4833717201974412e-01
1.3604729763748513e+00 -3.2453001114471358e-01 2.4251780617722063e-01
1.5000000000000000e+00 -3.7500000000000000e-01 1.7507820260904056e-01
3.5070654766121406e-01 1.4116446058574728e-01 9.2578480895675075e-01
1.0744409275812139e-01 2.0649643896177416e-01 9.7253019882546088e-01
1.1222275069754881e-01 3.7150811175783038e-01 9.2162236144963805e-01
-5.0498781729253220e-02 3.9931801314794640e-01 9.1542066691736745e-01
-7.3688496091296227e-02 6.3118404093626423e-01 7.7212480339072864e-01
-1.0015259254503089e-01 8.0745477544650457e-01 6.0619926419024428e-01
-1.3005960303883479e-01 9.8317412830558981e-01 4.7311467614767277e-01
-2.3707721676373594e-01 1.1631922134043453e+00 3.5193712999741605e-01
-1.8749999999999997e-01 1.3035714285714286e+00 2.8288191158935400e-01
-3.5091145833333337e-01 1.3352906858766234e+00 2.5105468858728663e-01
-3.7500000000000000e-01 1.5000000000000000e+00 1.7507820260904056e-01
6.3440892354879497e-01 -4.8247832763523707e-03 7.7298256072695160e-01
4.2855666231003875e-01 2.0638375969097345e-02 9.0327916206842596e-01
2.5959159774566964e-01 3.0325643713034089e-02 9.6524222748139266e-01
1.3549805666502923e-01 -3.3649273446087397e-02 9.9020604069887952e-01
0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00
-1.0133713028446734e-01 1.9657819730274897e-01 9.7523730361943728e-01
-2.4554481219210395e-01 3.4699247088406937e-01 9.0515411414593527e-01
-2.3489932294189769e-01 5.7907354921541077e-01 7.8070233295444003e-01
-2.6724137931034481e-01 7.4538177339901490e-01 6.2414204586305277e-01
-3.1121137620418304e-01 9.2921402566059252e-01 4.8061381233171840e-01
-3.7500000000000000e-01 1.1071428571428572e+00 3.6232277914593664e-01
-5.1432291666666674e-01 1.3035714285714286e+00 2.4086309891900554e-01
-5.6250000000000000e-01 1.5000000000000000e+00 1.5094540951882321e-01
7.2405419755531208e-01 -1.2620002513655101e-01 6.7809960378846046e-01
7.7490811760945999e-01 -3.2418504314477470e-01 5.8791738546764705e-01
9.3086931054556366e-01 -3.1836472853749531e-01 4.7999018007617761e-01
1.1071428571428572e+00 -3.7500000000000000e-01 3.6357643390439021e-01
1.3035714285714286e+00 -4.6156002228942722e-01 2.5014814532004442e-01
1.5000000000000000e+00 -5.6250000000000000e-01 1.5094540951882321e-01
5.2083333333333337e-01 -1.0416666666666667e-01 8.4727914198594811e-01
3.5071372101678300e-01 -1.1364400996915944e-01 9.2956168428388430e-01
2.2508467451475334e-01 -2.2874329409290012e-01 9.4710791080326029e-01
6.9530777684352729e-02 -1.5669526105777112e-01 9.8519646066997524e-01
-1.3922424360619123e-01 -9.2967873764541853e-02 9.8588720675338115e-01
-2.4032471942399733e-01 4.0467913599377417e-02 9.6984863623283513e-01
-2.5384645900284597e-01 1.9243317001065219e-01 9.4790898842207838e-01
-4.0364583333333337e-01 2.2135416666666669e-01 8.8773440517530045e-01
-4.2605817049077371e-01 3.6103446774719861e-01 8.2953513997693429e-01
-3.8231490307343868e-01 4.9556857465865189e-01 7.7990198275087064e-01
-4.4823141013354684e-01 6.9146366725160746e-01 5.9580739103551894e-01
-3.8433887100869912e-01 8.1454837662845747e-01 5.3720373641182695e-01
-4.3516382575419588e-01 9.8517501041691036e-01 4.1739019983987691e-01
-5.5604100251830824e-01 1.0532629134615794e+00 3.4986589052070943e-01
-7.0982142857142860e-01 1.1629464285714286e+00 2.5983955700844807e-01
-6.5625000000000000e-01 1.4046477316708486e+00 1.7237609380506200e-01
-7.5000000000000000e-01 1.5000000000000000e+00 1.1980068691378727e-01
5.8454177023954124e-01 -2.8730743098826272e-01 7.5879203932576156e-01
6.0246913351853315e-01 -4.5642948346677847e-01 6.5637325048201511e-01
7.5910937324497474e-01 -5.2128417687507334e-01 5.2376860269200354e-01
9.2196987855544910e-01 -4.7418054889741124e-01 4.4469863600751480e-01
1.0915398740876316e+00 -5.5587120367933862e-01 3.3178862628048356e-01
1.2363150640137208e+00 -6.6540653945049189e-01 2.4019943332625754e-01
1.3600652391893124e+00 -5.9321779727644275e-01 2.0258222566026626e-01
1.5000000000000000e+00 -7.5000000000000000e-01 1.1980068691378727e-01
3.7727965430085852e-01 -2.6875100537084462e-01 8.8624655686935394e-01
4.3777066081124005e-01 -4.1402580347827034e-01 7.9808488432438240e-01
2.3193542755918917e-01 -4.3559179525218561e-01 8.6975039255634379e-01
7.2784953806281139e-02 -3.2309142643194766e-01 9.4356466692303975e-01
-7.5659560554061783e-02 -2.4784184390961878e-01 9.6584162847966248e-01
-3.3427169176849469e-01 -2.6426482428720277e-01 9.0466929799053220e-01
-2.9832816295214848e-01 -1.0849799661452721e-01 9.4827659041032453e-01
-3.8098942583625212e-01 7.7636547178042137e-02 9.2131407453877234e-01
-5.6445362265532739e-01 2.1087903797109606e-01 7.9807401863214567e-01
-5.6709903829781128e-01 3.7200592959348810e-01 7.3485391004537925e-01
-5.0138805848576584e-01 5.6453941989147316e-01 6.5666357961893351e-01
-6.2500000000000000e-01 6.2500000000000000e-01 5.5099881172681298e-01
-6.4108255473523879e-01 7.8314001836202218e-01 4.5965438840925416e-01
-5.0829132055871196e-01 8.7050936138477530e-01 4.6167167314738927e-01
-7.0765374299591266e-01 1.0033408685829355e+00 3.2876947914280513e-01
-8.8559539798720499e-01 1.1367628228782027e+00 2.2170322360915795e-01
-7.6529797907066055e-01 1.3272548648411511e+00 1.8031195746354217e-01
-9.3750000000000000e-01 1.5000000000000000e+00 8.3539549081038195e-02
6.2500000000000000e-01 -6.2500000000000000e-01 5.5310495231587498e-01
4.9235117787542626e-01 -5.4308303850548223e-01 6.8018463003241503e-01
7.8338052281142823e-01 -7.0708293456000215e-01 4.3308122629959500e-01
9.5982142857142860e-01 -6.8080357142857140e-01 3.5844174077627716e-01
1.1016059634724809e+00 -6.9301053494679898e-01 2.9090379582299253e-01
1.1097248997841220e+00 -8.3027890424270612e-01 2.4819785307773706e-01
1.3429946698367272e+00 -7.8613802883620587e-01 1.7030426593474354e-01
1.5000000000000000e+00 -9.3750000000000000e-01 8.3539549081038195e-02
3.4526619867134328e-01 -5.2419648832532639e-01 7.7846598749234797e-01
1.6075935039090361e-01 -5.8182240438249866e-01 7.9726979186500146e-01
3.0743819266837152e-02 -4.8412190963341856e-01 8.7446028737146220e-01
-1.9430551549378913e-01 -4.2391774575318630e-01 8.8461240748942116e-01
-4.3476224581443867e-01 -5.0041391021701398e-01 7.4871069718263272e-01
-5.6541847814995339e-01 -3.0535879020856638e-01 7.6619707243564406e-01
-4.4105704682500868e-01 -1.7313393060771193e-01 8.8062098743916284e-01
-4.7168237010987962e-01 -3.6130129890120322e-02 8.8102801058856783e-01
-6.3660758567398190e-01 6.6786432163170539e-02 7.6829054031743615e-01
-7.3952414772727282e-01 2.3171164772727276e-01 6.3922767723499518e-01
-6.9492533290638914e-01 4.7587395734038018e-01 5.8627926820494713e-01
-8.0453962043489236e-01 6.1949227508325733e-01 4.5885315041241836e-01
-7.7971326694730936e-01 8.6091173305269053e-01 3.6698718648889045e-01
-8.6645620715349692e-01 9.8586283393774155e-01 2.8512428519168975e-01
-1.0156250000000000e+00 1.0156250000000000e+00 2.2384793328201708e-01
-1.0558986962114376e+00 1.1824681894449194e+00 1.5720778058568138e-01
-9.3750000000000000e-01 1.3067274716177861e+00 1.4748121238199838e-01
-1.0966929878663159e+00 1.3398753532247523e+00 9.7689512215840907e-02
-1.1250000000000000e+00 1.5000000000000000e+00 4.3902936429068271e-02
4.6803902590406354e-01 -6.8108203133653256e-01 5.9879546579946608e-01
6.4278264313773192e-01 -7.8452858933553804e-01 4.5983511098346203e-01
7.6811453066479030e-01 -8.8481573298443972e-01 3.6255315044051967e-01
9.3936694302714197e-01 -8.6034868529148190e-01 3.0511644455802717e-01
1.0156250000000000e+00 -1.0156250000000000e+00 2.2493758458518306e-01
1.1763770886056322e+00 -1.0624865298144186e+00 1.5742665219107180e-01
1.2878024193548387e+00 -9.3750000000000000e-01 1.5429549692519387e-01
1.3602938071195410e+00 -1.0692841840775988e+00 9.8543390335501621e-02
1.5000000000000000e+00 -1.1250000000000000e+00 4.3902936429068271e-02
3.0250806300701372e-01 -6.6155149242045108e-01 6.8617672263930563e-01
6.9721650962007525e-02 -7.2126246363595281e-01 6.8914392541538660e-01
