meshID=6063945
degree=1
Calculation Start Time:1.4387254847215519e+09
Calculation End Time:1.4387254848418131e+09
Calculation Elapsed Time:1.2026119232177734e-01
1.5000000000000000e+00 1.5000000000000000e+00 -4.0061509279258653e-02
1.5000000000000000e+00 1.4062500000000000e+00 -1.8817907513585887e-02
1.4487525904477843e+00 1.4487525904477843e+00 -1.6407444264829856e-02
1.4062500000000000e+00 1.5000000000000000e+00 -1.8817907513585887e-02
1.5000000000000000e+00 1.3125000000000000e+00 2.3330889532769826e-03
1.4529120469839467e+00 1.3593750000000000e+00 3.5195532474126367e-03
1.4016741071428571e+00 1.4016741071428571e+00 6.0813116926859753e-03
1.3213116576993575e+00 1.4183914902322858e+00 2.1198150040000051e-02
1.3125000000000000e+00 1.5000000000000000e+00 2.3330889532769826e-03
1.4050311560977393e+00 1.2640350999926915e+00 3.8493019467827523e-02
1.5000000000000000e+00 1.2187500000000000e+00 2.3282701639602429e-02
1.3772682090047308e+00 1.3322183981381264e+00 2.9180835406759923e-02
1.3078125000000000e+00 1.3078125000000000e+00 5.3199193238182320e-02
1.2402297668085061e+00 1.4056117739802803e+00 4.3987128459826191e-02
1.2187500000000000e+00 1.5000000000000000e+00 2.3282701639602429e-02
1.3355167785891908e+00 1.2387222251735066e+00 6.3562335979431825e-02
1.2658468658604358e+00 1.2138406341395642e+00 8.9287948331908243e-02
1.2208063461403427e+00 1.2903110427799069e+00 8.0573911578063928e-02
1.1443359375000000e+00 1.3353515625000001e+00 8.7299994009010284e-02
1.1558791918439957e+00 1.4201667789799000e+00 5.9978838688434274e-02
1.1250000000000000e+00 1.5000000000000000e+00 4.3902936429068271e-02
1.4293308684287052e+00 1.1927711476103071e+00 4.8769427798098827e-02
1.5000000000000000e+00 1.1250000000000000e+00 4.3902936429068271e-02
1.3581311893363064e+00 1.1682837503279120e+00 7.4915731026866134e-02
1.2836182860432555e+00 1.1335917405288529e+00 1.0551745443612359e-01
1.1718750000000000e+00 1.1718750000000000e+00 1.2777501859544857e-01
1.1571757342985365e+00 1.2472738488696546e+00 1.0991662609146312e-01
1.0806508936227339e+00 1.2405653779131487e+00 1.3273374677465091e-01
1.0474681367709853e+00 1.3205078608355718e+00 1.1626522701007874e-01
1.0968339500502813e+00 1.3850096490022819e+00 8.4254548360954876e-02
1.0781250000000000e+00 1.4527653052713525e+00 6.8217241465371614e-02
